	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_3049778	118.85425125	148.33931875	94.953560625	98.603208125	95.327415	127.8719875	151.7113	104.721908125	101.03895	93.816516875	136.10575625	121.24155375	151.1479625	124.6910875	107.44807875	95.61521125
ILMN_2587859	8212.2020625	7144.64825	7724.063375	8285.4875	8355.2378125	7984.2996875	8420.7889375	12309.0020625	9065.637	8834.2650625	8031.7658125	6578.41025	6900.494375	9346.0995	12961.611375	11230.1335625
ILMN_1257333	3862.5035625	4530.4624375	4137.6650625	3808.8565	4619.5934375	3883.6430625	4925.7006875	3384.2715625	3534.9343125	4396.7099375	4530.4624375	4239.0556875	4452.0114375	3953.748625	3834.3006875	4667.497625
ILMN_1243462	140.8878375	163.2424375	142.66521875	141.90628125	169.78939375	144.260675	125.7289875	148.8364625	153.695975	150.8607	126.36245	148.0848125	155.68575625	134.78813125	130.53025625	169.34339375
ILMN_2743650	264.523	292.4938	270.48401875	339.5567875	246.22676875	221.24006875	266.54350625	391.4559875	452.3838625	316.0292125	384.34065	281.8167875	296.89524375	362.3423375	386.81351875	287.6191125
ILMN_2729743	211.1658125	198.986275	207.45166875	232.98231875	229.5596375	189.890575	236.39815625	225.768425	236.39815625	232.98231875	225.768425	204.95320625	195.500075	214.63416875	233.70659375	247.27466875
ILMN_2801798	1413.892925	1357.73449375	1290.79334375	1443.8409375	1512.9835625	1470.9896875	1499.0845625	1399.6960125	1340.43134375	1389.53755625	1630.3749375	1523.2851875	1723.53475	1512.9835625	1447.2469375	1315.989225
ILMN_3143577	430.63421875	432.08651875	446.23766875	444.5415	398.8783375	407.82223125	416.5290125	431.7225875	436.96919375	479.6173875	354.05960625	470.87679375	460.56375625	342.5941	447.55898125	527.07400625
ILMN_1257117	769.2259125	601.77260625	878.55406875	775.92039375	882.26715625	830.115225	665.2559875	932.24933125	800.142025	782.2742875	668.6408375	750.79295	724.54374375	799.0163375	809.68798125	836.24015
ILMN_2942669	1729.3028125	1691.932625	1541.624625	1836.85825	1585.203875	1773.0195	1836.85825	1786.308875	1753.9889375	1601.894875	1825.6773125	1761.7409375	1901.7284375	2003.673375	1737.21975	1729.3028125
ILMN_1234781	946.97265625	952.8408625	926.7802875	1151.43849375	928.73256875	1037.15800625	1073.825075	1284.59764375	1082.09006875	878.55406875	997.9165375	905.5100875	982.52008125	1111.68751875	1146.39284375	1115.814175
ILMN_1244070	5235.5604375	5592.9835	5017.492875	4559.2555625	5035.313	5207.3271875	5366.7633125	4925.7006875	4559.2555625	5284.0041875	4995.627	6210.5699375	5188.1588125	4995.627	4544.1546875	5630.295
ILMN_2608429	682.99356875	701.97584375	669.95110625	546.67505625	718.119375	594.5953875	542.5852375	549.2649875	556.3031625	600.22399375	527.07400625	676.4500125	642.53469375	544.86930625	557.51616875	713.79743125
ILMN_2650911	3583.1270625	3556.7825	3081.9745625	4036.32475	3496.7734375	3572.0115	3367.8920625	4224.2954375	4410.4075	3796.041	3808.8565	3331.7243125	3508.3631875	4152.0380625	4239.0556875	3834.3006875
ILMN_2595283	496.93676875	408.5570375	497.8212875	540.56240625	485.53976875	476.99363125	407.82223125	460.56375625	549.89674375	448.20770625	396.1385875	324.18878125	496.135925	615.6507375	559.57819375	477.51089375
ILMN_2752408	3114.975	3074.407375	3610.6621875	3260.6586875	3125.4125	3134.3626875	2758.6666875	3144.962875	2955.6293125	3125.4125	2721.8628125	3282.743375	2476.998875	2738.6715	3104.4561875	2816.5711875
ILMN_1217225	562.62983125	516.35701875	672.2165125	466.434675	625.94640625	580.68080625	507.30178125	490.5482625	483.0917625	620.669025	478.21235625	530.13569375	467.39164375	394.19975	413.1436125	603.75543125
ILMN_2599130	27148.123125	29198.485625	27148.123125	29198.485625	29198.485625	27148.123125	29991.60125	29198.485625	29198.485625	25477.855	31429.665	28088.250625	27148.123125	29198.485625	28088.250625	26401.904375
ILMN_3081402	102.045950625	90.62556	118.982745625	133.2308125	92.463158125	105.723615625	92.89908375	135.1378125	149.21289375	116.987925	153.5859125	113.7851975	95.67745375	151.9914375	145.898675	119.53205625
ILMN_2786973	9753.672125	8640.875375	9544.25021875	7332.76175	11297.6646875	10210.935875	10210.935875	7332.76175	7535.8325625	9413.28375	7884.927125	10127.8905625	10333.5746875	7460.845875	7884.927125	9346.0995
ILMN_2605268	1037.15800625	1085.4797875	932.24933125	1205.7586875	844.16524375	1117.5936875	1119.3327375	1185.554375	1023.44788125	917.37219375	1351.2752375	1098.48106875	1161.1970625	1181.55914375	1062.9545625	958.827475
ILMN_1223147	11495.6474375	13172.297875	11938.2769375	9753.672125	9413.28375	12621.3100625	12621.3100625	9413.28375	11230.1335625	10674.29	13983.2231875	12961.611375	10674.29	13534.7125	9972.20525	8285.4875
ILMN_2749840	653.84860625	685.93454375	631.9964875	593.64370625	840.31154375	566.12206875	649.74345625	556.3031625	539.54431875	682.99356875	594.5953875	653.84860625	596.8079375	540.56240625	608.020025	646.166675
